date,open,close
2024-01-02,470,472
2024-01-03,472,471
2024-01-04,471,474
2024-01-05,474,473
2024-01-08,473,475
2024-01-09,475,476
2024-01-10,476,474
2024-01-11,474,473
2024-01-12,473,474
2024-01-15,474,476
2024-01-16,476,477
2024-01-17,477,478
2024-01-18,478,477
2024-01-19,477,479
2024-01-22,479,481
2024-01-23,481,480
2024-01-24,480,482
2024-01-25,482,483
2024-01-26,483,485
2024-01-29,485,487
2024-01-30,487,486
2024-01-31,486,488
2024-02-01,488,490
2024-02-02,490,489
2024-02-05,489,491
2024-02-06,491,492
2024-02-07,492,494
2024-02-08,494,493
2024-02-09,493,495
2024-02-12,495,497
2024-02-13,497,496
2024-02-14,496,498
2024-02-15,498,500
2024-02-16,500,499
2024-02-20,499,501
2024-02-21,501,503
2024-02-22,503,502
2024-02-23,502,504
2024-02-26,504,506
2024-02-27,506,505
2024-02-28,505,507
2024-02-29,507,509
2024-03-01,509,508
2024-03-04,508,510
2024-03-05,510,512
2024-03-06,512,511
2024-03-07,511,513
2024-03-08,513,515
2024-03-11,515,514
2024-03-12,514,516
2024-03-13,516,518
2024-03-14,518,517
2024-03-15,517,519
2024-03-18,519,521
2024-03-19,521,520
2024-03-20,520,522
2024-03-21,522,524
2024-03-22,524,523
2024-03-25,523,525
2024-03-26,525,527
2024-03-27,527,526
2024-03-28,526,528
2024-04-01,528,530
2024-04-02,530,529
2024-04-03,529,531
2024-04-04,531,533
2024-04-05,533,532
2024-04-08,532,534
2024-04-09,534,536
2024-04-10,536,535
2024-04-11,535,537
2024-04-12,537,539
2024-04-15,539,538
2024-04-16,538,540
2024-04-17,540,542
2024-04-18,542,541
2024-04-19,541,543
2024-04-22,543,545
2024-04-23,545,544
2024-04-24,544,546
2024-04-25,546,548
2024-04-26,548,547
2024-04-29,547,549
2024-04-30,549,551
2024-05-01,551,550
2024-05-02,550,552
2024-05-03,552,554
2024-05-06,554,553
2024-05-07,553,555
2024-05-08,555,557
2024-05-09,557,556
2024-05-10,556,558
2024-05-13,558,560
2024-05-14,560,559
2024-05-15,559,561
2024-05-16,561,563
2024-05-17,563,562
2024-05-20,562,564
2024-05-21,564,566
2024-05-22,566,565
2024-05-23,565,567
2024-05-24,567,569
2024-05-28,569,568
2024-05-29,568,570
2024-05-30,570,572
2024-05-31,572,571
2024-06-03,571,573
2024-06-04,573,575
2024-06-05,575,574
2024-06-06,574,576
2024-06-07,576,578
2024-06-10,578,577
2024-06-11,577,579
2024-06-12,579,581
2024-06-13,581,580
2024-06-14,580,582
2024-06-17,582,584
2024-06-18,584,583
2024-06-19,583,585
2024-06-20,585,587
2024-06-21,587,586
2024-06-24,586,588
2024-06-25,588,590
2024-06-26,590,589
2024-06-27,589,591
2024-06-28,591,593
2024-07-01,593,592
2024-07-02,592,594
2024-07-03,594,596
2024-07-05,596,595
2024-07-08,595,597
2024-07-09,597,599
2024-07-10,599,598
2024-07-11,598,600
2024-07-12,600,602
2024-07-15,602,601
2024-07-16,601,603
2024-07-17,603,605
2024-07-18,605,604
2024-07-19,604,606
2024-07-22,606,608
2024-07-23,608,607
2024-07-24,607,609
2024-07-25,609,611
2024-07-26,611,610
2024-07-29,610,612
2024-07-30,612,614
2024-07-31,614,613
2024-08-01,613,615
2024-08-02,615,617
2024-08-05,617,616
2024-08-06,616,618
2024-08-07,618,620
2024-08-08,620,619
2024-08-09,619,621
2024-08-12,621,623
2024-08-13,623,622
2024-08-14,622,624
2024-08-15,624,626
2024-08-16,626,625
2024-08-19,625,627
2024-08-20,627,629
2024-08-21,629,628
2024-08-22,628,630
2024-08-23,630,632
2024-08-26,632,631
2024-08-27,631,633
2024-08-28,633,635
2024-08-29,635,634
2024-08-30,634,636
2024-09-03,636,638
2024-09-04,638,637
2024-09-05,637,639
2024-09-06,639,641
2024-09-09,641,640
2024-09-10,640,642
2024-09-11,642,644
2024-09-12,644,643
2024-09-13,643,645
2024-09-16,645,647
2024-09-17,647,646
2024-09-18,646,648
2024-09-19,648,650
2024-09-20,650,649
2024-09-23,649,651
2024-09-24,651,653
2024-09-25,653,652
2024-09-26,652,654
2024-09-27,654,656
2024-09-30,656,655
2024-10-01,655,657
2024-10-02,657,659
2024-10-03,659,658
2024-10-04,658,660
2024-10-07,660,662
2024-10-08,662,661
2024-10-09,661,663
2024-10-10,663,665
2024-10-11,665,664
2024-10-14,664,666
2024-10-15,666,668
2024-10-16,668,667
2024-10-17,667,669
2024-10-18,669,671
2024-10-21,671,670
2024-10-22,670,672
2024-10-23,672,674
2024-10-24,674,673
2024-10-25,673,675
2024-10-28,675,677
2024-10-29,677,676
2024-10-30,676,678
2024-10-31,678,680
2024-11-01,680,679
2024-11-04,679,681
2024-11-05,681,683
2024-11-06,683,682
2024-11-07,682,684
2024-11-08,684,686
2024-11-11,686,685
2024-11-12,685,687
2024-11-13,687,689
2024-11-14,689,688
2024-11-15,688,690
2024-11-18,690,692
2024-11-19,692,691
2024-11-20,691,693
2024-11-21,693,695
2024-11-22,695,694
2024-11-25,694,696
2024-11-26,696,698
2024-11-27,698,697
2024-12-02,697,699
2024-12-03,699,701
2024-12-04,701,700
2024-12-05,700,702
2024-12-06,702,704
2024-12-09,704,703
2024-12-10,703,705
2024-12-11,705,707
2024-12-12,707,706
2024-12-13,706,708
2024-12-16,708,710
2024-12-17,710,709
2024-12-18,709,711
2024-12-19,711,713
2024-12-20,713,712
2024-12-23,712,714
2024-12-24,714,716
2024-12-26,716,715
2024-12-27,715,717
2024-12-30,717,719
2024-12-31,719,718
2025-01-02,718,720
2025-01-03,720,722
2025-01-06,722,721
2025-01-07,721,723
